# Command: bloaty -c suit.bloaty -d sections,suit,symbols -n 0 -s vm ../../2020-clemens-vera/Results/bin/mqttsn-wpan/suit_update.elf -- ../../2020-clemens-vera/Results/bin/coap-wpan/suit_update.elf

    FILE SIZE        VM SIZE    
 --------------  -------------- 
  [ = ]       0  +6.5% +1.21Ki    .bss
    [ = ]       0  [NEW] +1.22Ki    mqttsn
    -3.4%    -648  [ = ]       0    ota
      -3.4%    -648  [ = ]       0    [section .debug_line]
     +31% +5.58Ki  [ = ]       0    suit
       +31% +5.58Ki  [ = ]       0    [section .debug_line]
  -6.4% -13.1Ki  [ = ]       0    .debug_loc
   -10.6% -4.97Ki  [ = ]       0    [section .debug_loc]
    -5.7%    -411  [ = ]       0    cborcose
      -5.7%    -411  [ = ]       0    [section .debug_loc]
    [DEL] -9.95Ki  [ = ]       0    coap
      [DEL] -9.95Ki  [ = ]       0    [section .debug_loc]
    +4.6% +1.49Ki  [ = ]       0    core
      +4.6% +1.49Ki  [ = ]       0    [section .debug_loc]
    [NEW] +4.31Ki  [ = ]       0    mqttsn
      [NEW] +4.31Ki  [ = ]       0    [section .debug_loc]
    -2.1% -1.66Ki  [ = ]       0    network
      -2.1% -1.66Ki  [ = ]       0    [section .debug_loc]
   -22.6% -1.91Ki  [ = ]       0    ota
     -22.6% -1.91Ki  [ = ]       0    [section .debug_loc]
    -0.1%     -10  [ = ]       0    suit
      -0.1%     -10  [ = ]       0    [section .debug_loc]
  -2.3% -14.5Ki  [ = ]       0    .debug_macro
  -2.6%    -928  [ = ]       0    .debug_ranges
    -4.9%    -232  [ = ]       0    [section .debug_ranges]
    -8.6%    -112  [ = ]       0    cborcose
      -8.6%    -112  [ = ]       0    [section .debug_ranges]
    [DEL] -1.51Ki  [ = ]       0    coap
      [DEL] -1.51Ki  [ = ]       0    [section .debug_ranges]
    +4.5%    +464  [ = ]       0    core
      +4.5%    +464  [ = ]       0    [section .debug_ranges]
    [NEW]    +816  [ = ]       0    mqttsn
      [NEW]    +816  [ = ]       0    [section .debug_ranges]
    -0.9%    -136  [ = ]       0    network
      -0.9%    -136  [ = ]       0    [section .debug_ranges]
   -16.6%    -200  [ = ]       0    ota
     -16.6%    -200  [ = ]       0    [section .debug_ranges]
    +1.6%     +16  [ = ]       0    suit
      +1.6%     +16  [ = ]       0    [section .debug_ranges]
  -0.4% -3.37Ki  [ = ]       0    .debug_str
    -2.3%     -10  [ = ]       0    
    -0.3% -1.98Ki  [ = ]       0    [section .debug_str]
    -6.9%    -354  [ = ]       0    cborcose
      -6.9%    -354  [ = ]       0    [section .debug_str]
    [DEL] -1.96Ki  [ = ]       0    coap
      [DEL] -1.96Ki  [ = ]       0    [section .debug_str]
    +1.6%    +276  [ = ]       0    core
      +1.6%    +276  [ = ]       0    [section .debug_str]
    +1.0%     +25  [ = ]       0    crypto
      +1.0%     +25  [ = ]       0    [section .debug_str]
    [NEW] +1.92Ki  [ = ]       0    mqttsn
      [NEW] +1.92Ki  [ = ]       0    [section .debug_str]
    -5.1%    -981  [ = ]       0    network
      -5.1%    -981  [ = ]       0    [section .debug_str]
    -4.8%    -278  [ = ]       0    ota
      -4.8%    -278  [ = ]       0    [section .debug_str]
    -1.3%     -48  [ = ]       0    suit
      -1.3%     -48  [ = ]       0    [section .debug_str]
  -0.4%      -1  [ = ]       0    .shstrtab
  -2.1%    -343  [ = ]       0    .strtab
    +0.3%      +8  [ = ]       0    [section .strtab]
      +1.5%     +23  [ = ]       0    [section .strtab]
      [DEL]     -15  [ = ]       0    sha1_update
    -1.0%      -9  [ = ]       0    cborcose
      [NEW]     +17  [ = ]       0    _enter_container
      [DEL]     -23  [ = ]       0    _get_and_advance_int32
      +111%     +10  [ = ]       0    _get_str
      [NEW]      +8  [ = ]       0    _getc_r
      [DEL]     -11  [ = ]       0    _put_bytes
     -41.7%     -10  [ = ]       0    _skip_limited
    [DEL]    -601  [ = ]       0    coap
      [DEL]      -8  [ = ]       0    __malloc_lock
      [DEL]      -8  [ = ]       0    __sread
      [DEL]     -10  [ = ]       0    __srget_r
      [DEL]     -14  [ = ]       0    _decode_value
      [DEL]     -13  [ = ]       0    _encode_uint
      [DEL]     -21  [ = ]       0    _parse_option.isra.0
      [DEL]     -29  [ = ]       0    _put_delta_optlen
      [DEL]      -8  [ = ]       0    _putc_r
      [DEL]     -15  [ = ]       0    _slicer2blkopt
      [DEL]     -24  [ = ]       0    coap_block2_build_reply
      [DEL]     -17  [ = ]       0    coap_block2_init
      [DEL]     -18  [ = ]       0    coap_block_finish
      [DEL]     -14  [ = ]       0    coap_blockwise_put_bytes
      [DEL]     -24  [ = ]       0    coap_blockwise_put_char
      [DEL]     -15  [ = ]       0    coap_build_hdr
      [DEL]     -17  [ = ]       0    coap_build_reply
      [DEL]     -17  [ = ]       0    coap_find_option
      [DEL]     -15  [ = ]       0    coap_get_block
      [DEL]     -18  [ = ]       0    coap_get_blockopt
      [DEL]     -16  [ = ]       0    coap_handle_req
      [DEL]     -20  [ = ]       0    coap_iterate_option
      [DEL]     -16  [ = ]       0    coap_match_path
      [DEL]     -20  [ = ]       0    coap_opt_get_string
      [DEL]     -19  [ = ]       0    coap_opt_put_block
      [DEL]     -29  [ = ]       0    coap_opt_put_string_with_len
      [DEL]     -18  [ = ]       0    coap_opt_put_uint
      [DEL]     -27  [ = ]       0    coap_opt_put_uri_pathquery
      [DEL]     -11  [ = ]       0    coap_parse
      [DEL]     -31  [ = ]       0    coap_put_option
      [DEL]     -18  [ = ]       0    coap_reply_simple
      [DEL]     -18  [ = ]       0    coap_tree_handler
      [DEL]     -37  [ = ]       0    coap_well_known_core_default_handler
      [DEL]     -16  [ = ]       0    nanocoap_server
    +3.0%    +149  [ = ]       0    core
      [NEW]     +29  [ = ]       0    __func__.6442
      [DEL]     -29  [ = ]       0    __func__.6454
      [NEW]      +8  [ = ]       0    __malloc_lock
      [NEW]      +8  [ = ]       0    __sread
      [NEW]     +10  [ = ]       0    __srget_r
     -54.5%      -6  [ = ]       0    _set_timer
      [NEW]     +34  [ = ]       0    _thread_flags_clear_atomic.isra.0
      [NEW]     +23  [ = ]       0    _thread_flags_wait_any
      +1.2%     +15  [ = ]       0    isr_dma2_stream4
     -21.6%     -11  [ = ]       0    isr_stack
     -12.5%      -1  [ = ]       0    printf
