1550143963.7229464	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7252295	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7273526	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7293599	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.739211	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7411468	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7430701	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7450607	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7470875	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7491982	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7512434	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7536361	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.762487	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7649367	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7674313	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7699165	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7721517	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7742805	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7761664	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7837322	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.785724	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.7879832	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.7905128	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.7931316	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7954807	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.7976234	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8051949	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8074937	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8098454	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8123326	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8149664	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8171103	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8194187	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8214183	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8294904	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8316898	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8341181	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8367107	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.83942	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.84136	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8434067	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8509862	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8534443	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8561082	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.858657	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8610742	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8634946	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8654277	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8722103	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.874369	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8768873	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8794158	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8819299	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8841698	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.886154	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8881757	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8957994	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.8983076	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.900706	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9031224	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9051003	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9071467	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9092002	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9169369	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9192317	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9218552	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.924441	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9270449	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9292762	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.931266	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9393344	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9413624	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9435668	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9459248	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9483335	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9508474	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9527655	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.954755	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9628618	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.965459	8428	66	61	14	-4	264	0	17139	14	-6
1550143963.967991	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9705348	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9727426	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9746885	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9767454	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9840736	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9859667	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9880137	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9897387	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.992161	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.9946525	8442	66	61	14	-4	264	0	17139	14	-6
1550143963.997142	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0055084	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0074408	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.009501	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.011945	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0144398	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0169356	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.019382	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0213547	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0297997	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.032107	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.034623	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0371397	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.03948	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0414438	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0434978	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0512128	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.0536199	8442	66	61	14	-4	264	0	17139	14	-6
1550143964.056315	8442	66	61	14	-4	264	0	17139	14	-6
